"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2013","1,756.54","1,682.41","1,775.22","1,646.47","","4.46%"
"09/01/2013","1,681.55","1,635.95","1,729.86","1,633.41","","2.97%"
"08/01/2013","1,632.97","1,689.42","1,709.67","1,627.47","","-3.13%"
"07/01/2013","1,685.73","1,609.78","1,698.78","1,604.57","","4.95%"
"06/01/2013","1,606.28","1,631.71","1,654.19","1,560.33","","-1.50%"
"05/01/2013","1,630.74","1,597.55","1,687.18","1,581.28","","2.08%"
"04/01/2013","1,597.57","1,569.18","1,597.57","1,536.03","","1.81%"
"03/01/2013","1,569.19","1,514.68","1,570.28","1,501.48","","3.60%"
"02/01/2013","1,514.68","1,498.11","1,530.94","1,485.01","","1.11%"
"01/01/2013","1,498.11","1,426.19","1,509.94","1,426.19","","5.04%"
"12/01/2012","1,426.19","1,416.34","1,448.00","1,398.11","","0.71%"
"11/01/2012","1,416.18","1,412.20","1,434.27","1,343.35","","0.28%"
"10/01/2012","1,412.16","1,440.90","1,470.96","1,403.28","","-1.98%"
"09/01/2012","1,440.67","1,406.54","1,474.51","1,396.56","","2.42%"
"08/01/2012","1,406.58","1,379.32","1,426.68","1,354.65","","1.98%"
"07/01/2012","1,379.32","1,362.33","1,391.74","1,325.41","","1.26%"
"06/01/2012","1,362.16","1,309.87","1,363.46","1,266.74","","3.96%"
"05/01/2012","1,310.33","1,397.86","1,415.32","1,291.98","","-6.27%"
"04/01/2012","1,397.91","1,408.47","1,422.38","1,357.38","","-0.75%"
"03/01/2012","1,408.47","1,365.90","1,419.15","1,340.03","","3.13%"
"02/01/2012","1,365.68","1,312.45","1,378.04","1,312.45","","4.06%"
"01/01/2012","1,312.41","1,258.86","1,333.47","1,258.86","","4.36%"
"12/01/2011","1,257.60","1,246.91","1,269.37","1,202.37","","0.85%"
"11/01/2011","1,246.96","1,251.00","1,277.55","1,158.66","","-0.51%"
"10/01/2011","1,253.30","1,131.21","1,292.66","1,074.77","","10.77%"
"09/01/2011","1,131.42","1,219.12","1,229.29","1,114.22","","-7.18%"
"08/01/2011","1,218.89","1,292.59","1,307.38","1,101.54","","-5.68%"
"07/01/2011","1,292.28","1,320.64","1,356.48","1,282.86","","-2.15%"
"06/01/2011","1,320.64","1,345.20","1,345.20","1,258.07","","-1.83%"
"05/01/2011","1,345.20","1,365.21","1,370.58","1,311.80","","-1.35%"
"04/01/2011","1,363.61","1,329.48","1,364.56","1,294.70","","2.85%"
"03/01/2011","1,325.83","1,328.64","1,332.28","1,249.05","","-0.10%"
"02/01/2011","1,327.22","1,289.14","1,344.07","1,289.14","","3.20%"
"01/01/2011","1,286.12","1,257.62","1,302.67","1,257.62","","2.26%"
"12/01/2010","1,257.64","1,186.60","1,262.60","1,186.60","","6.53%"
"11/01/2010","1,180.55","1,185.71","1,227.08","1,173.00","","-0.23%"
"10/01/2010","1,183.26","1,143.49","1,196.14","1,131.87","","3.69%"
"09/01/2010","1,141.20","1,049.72","1,157.16","1,049.72","","8.76%"
"08/01/2010","1,049.33","1,107.53","1,129.24","1,039.70","","-4.74%"
"07/01/2010","1,101.60","1,031.10","1,120.95","1,010.91","","6.88%"
"06/01/2010","1,030.71","1,087.30","1,131.23","1,028.33","","-5.39%"
"05/01/2010","1,089.41","1,188.58","1,205.13","1,040.78","","-8.20%"
"04/01/2010","1,186.69","1,171.23","1,219.80","1,170.69","","1.48%"
"03/01/2010","1,169.43","1,105.36","1,180.69","1,105.36","","5.88%"
"02/01/2010","1,104.49","1,073.89","1,112.42","1,044.50","","2.85%"
"01/01/2010","1,073.87","1,116.56","1,150.45","1,071.59","","-3.70%"
"12/01/2009","1,115.10","1,098.89","1,130.38","1,085.89","","1.78%"
"11/01/2009","1,095.63","1,036.18","1,113.69","1,029.38","","5.74%"
"10/01/2009","1,036.19","1,054.91","1,101.36","1,019.95","","-1.98%"
"09/01/2009","1,057.08","1,019.52","1,080.15","991.97","","3.57%"
"08/01/2009","1,020.62","990.22","1,039.47","978.51","","3.36%"
"07/01/2009","987.48","920.82","996.68","869.32","","7.41%"
"06/01/2009","919.32","923.26","956.23","888.86","","0.02%"
"05/01/2009","919.14","872.74","930.17","866.10","","5.31%"
"04/01/2009","872.81","793.59","888.70","783.32","","9.39%"
"03/01/2009","797.87","729.57","832.98","666.79","","8.54%"
"02/01/2009","735.09","823.09","875.01","734.52","","-10.99%"
"01/01/2009","825.88","902.99","943.85","804.30","","-8.57%"
"12/01/2008","903.25","888.61","918.85","815.69","","0.78%"
"11/01/2008","896.24","968.67","1,007.51","741.02","","-7.48%"
"10/01/2008","968.75","1,164.17","1,167.03","839.80","","-16.94%"
"09/01/2008","1,166.36","1,287.83","1,303.04","1,106.39","","-9.08%"
"08/01/2008","1,282.83","1,269.42","1,313.15","1,247.45","","1.22%"
"07/01/2008","1,267.38","1,276.69","1,292.17","1,200.44","","-0.99%"
"06/01/2008","1,280.00","1,399.62","1,404.05","1,272.00","","-8.60%"
"05/01/2008","1,400.38","1,385.97","1,440.24","1,373.07","","1.07%"
"04/01/2008","1,385.59","1,326.41","1,404.57","1,324.35","","4.75%"
"03/01/2008","1,322.70","1,330.45","1,359.68","1,256.98","","-0.60%"
"02/01/2008","1,330.63","1,378.60","1,396.02","1,316.75","","-3.48%"
"01/01/2008","1,378.55","1,467.97","1,471.77","1,270.05","","-6.12%"
"12/01/2007","1,468.36","1,479.63","1,523.57","1,435.65","","-0.86%"
"11/01/2007","1,481.14","1,545.79","1,545.79","1,406.10","","-4.40%"
"10/01/2007","1,549.38","1,527.29","1,576.09","1,489.56","","1.48%"
"09/01/2007","1,526.75","1,473.96","1,538.74","1,439.29","","3.58%"
"08/01/2007","1,473.99","1,455.18","1,503.89","1,370.60","","1.29%"
"07/01/2007","1,455.27","1,504.66","1,555.90","1,454.25","","-3.20%"
"06/01/2007","1,503.35","1,530.62","1,540.56","1,484.18","","-1.78%"
"05/01/2007","1,530.62","1,482.37","1,535.56","1,476.70","","3.25%"
"04/01/2007","1,482.37","1,420.83","1,498.02","1,416.37","","4.33%"
"03/01/2007","1,420.86","1,406.80","1,438.89","1,363.98","","1.00%"
"02/01/2007","1,406.82","1,437.90","1,461.57","1,389.42","","-2.18%"
"01/01/2007","1,438.24","1,418.03","1,441.61","1,403.97","","1.41%"
"12/01/2006","1,418.30","1,400.63","1,431.81","1,385.93","","1.26%"
"11/01/2006","1,400.63","1,377.76","1,407.89","1,360.98","","1.65%"
"10/01/2006","1,377.94","1,335.82","1,389.45","1,327.10","","3.15%"
"09/01/2006","1,335.85","1,303.80","1,340.28","1,290.93","","2.46%"
"08/01/2006","1,303.82","1,278.53","1,306.74","1,261.30","","2.13%"
"07/01/2006","1,276.66","1,270.06","1,280.42","1,224.54","","0.51%"
"06/01/2006","1,270.20","1,270.05","1,290.68","1,219.29","","0.01%"
"05/01/2006","1,270.09","1,310.61","1,326.70","1,245.34","","-3.09%"
"04/01/2006","1,310.61","1,302.88","1,318.16","1,280.74","","1.22%"
"03/01/2006","1,294.83","1,280.66","1,310.88","1,268.42","","1.11%"
"02/01/2006","1,280.66","1,280.08","1,297.57","1,253.61","","0.05%"
"01/01/2006","1,280.08","1,248.29","1,294.90","1,245.74","","2.55%"
"12/01/2005","1,248.29","1,249.48","1,275.80","1,246.59","","-0.10%"
"11/01/2005","1,249.48","1,207.01","1,270.64","1,201.07","","3.52%"
"10/01/2005","1,207.01","1,228.81","1,233.34","1,168.20","","-1.77%"
"09/01/2005","1,228.81","1,220.33","1,243.13","1,205.35","","0.69%"
"08/01/2005","1,220.33","1,234.18","1,245.86","1,201.07","","-1.12%"
"07/01/2005","1,234.18","1,191.33","1,245.15","1,183.55","","3.60%"
"06/01/2005","1,191.33","1,191.50","1,219.59","1,188.30","","-0.01%"
"05/01/2005","1,191.50","1,156.85","1,199.56","1,146.18","","3.00%"
"04/01/2005","1,156.85","1,180.59","1,191.88","1,136.15","","-2.01%"
"03/01/2005","1,180.59","1,203.60","1,229.11","1,163.69","","-1.91%"
"02/01/2005","1,203.60","1,181.27","1,212.44","1,180.95","","1.89%"
"01/01/2005","1,181.27","1,211.92","1,217.90","1,163.75","","-2.53%"
"12/01/2004","1,211.92","1,173.78","1,217.33","1,173.76","","3.25%"
"11/01/2004","1,173.82","1,130.20","1,188.46","1,127.53","","3.86%"
"10/01/2004","1,130.20","1,114.58","1,142.05","1,090.19","","1.40%"
"09/01/2004","1,114.58","1,104.24","1,131.54","1,099.11","","0.94%"
"08/01/2004","1,104.24","1,101.72","1,109.68","1,060.72","","0.23%"
"07/01/2004","1,101.72","1,140.84","1,140.84","1,078.78","","-3.43%"
"06/01/2004","1,140.84","1,120.68","1,146.34","1,113.32","","1.80%"
"05/01/2004","1,120.68","1,107.30","1,127.74","1,076.32","","1.21%"
"04/01/2004","1,107.30","1,126.21","1,150.57","1,107.23","","-1.68%"
"03/01/2004","1,126.21","1,144.94","1,163.23","1,087.06","","-1.64%"
"02/01/2004","1,144.94","1,131.13","1,158.98","1,124.44","","1.22%"
"01/01/2004","1,131.13","1,111.92","1,155.38","1,105.08","","1.73%"
"12/01/2003","1,111.92","1,058.20","1,112.56","1,053.41","","5.08%"
"11/01/2003","1,058.20","1,050.71","1,063.65","1,031.20","","0.71%"
"10/01/2003","1,050.71","995.97","1,053.79","995.97","","5.50%"
"09/01/2003","995.97","1,008.01","1,040.29","990.36","","-1.19%"
"08/01/2003","1,008.01","990.31","1,011.01","960.84","","1.48%"
"07/01/2003","993.32","974.50","1,015.41","962.10","","1.93%"
"06/01/2003","974.50","963.59","1,015.33","963.59","","1.13%"
"05/01/2003","963.59","916.92","965.38","902.83","","5.09%"
"04/01/2003","916.92","848.18","924.24","847.85","","8.10%"
"03/01/2003","848.18","841.15","895.90","788.90","","0.84%"
"02/01/2003","841.15","855.70","864.64","806.29","","-1.70%"
"01/01/2003","855.70","879.82","935.05","840.34","","-2.74%"
"12/01/2002","879.82","936.31","954.28","869.45","","-6.03%"
"11/01/2002","936.31","885.76","941.82","872.05","","5.71%"
"10/01/2002","885.76","815.28","907.44","768.63","","8.64%"
"09/01/2002","815.28","916.07","924.02","800.20","","-11.00%"
"08/01/2002","916.07","911.62","965.00","833.44","","0.49%"
"07/01/2002","911.62","989.82","994.46","775.68","","-7.90%"
"06/01/2002","989.82","1,067.14","1,070.74","952.92","","-7.25%"
"05/01/2002","1,067.14","1,076.92","1,106.59","1,048.96","","-0.91%"
"04/01/2002","1,076.92","1,147.39","1,147.84","1,063.46","","-6.14%"
"03/01/2002","1,147.39","1,106.73","1,173.94","1,106.73","","3.67%"
"02/01/2002","1,106.73","1,130.20","1,130.20","1,074.36","","-2.08%"
"01/01/2002","1,130.20","1,148.08","1,176.97","1,081.66","","-1.56%"
"12/01/2001","1,148.08","1,139.45","1,173.62","1,114.53","","0.76%"
"11/01/2001","1,139.45","1,059.78","1,163.38","1,054.31","","7.52%"
"10/01/2001","1,059.78","1,040.94","1,110.61","1,026.76","","1.81%"
"09/01/2001","1,040.94","1,133.58","1,155.40","944.75","","-8.17%"
"08/01/2001","1,133.58","1,211.23","1,226.27","1,124.87","","-6.41%"
"07/01/2001","1,211.23","1,224.42","1,239.78","1,165.54","","-1.07%"
"06/01/2001","1,224.38","1,255.82","1,286.62","1,203.03","","-2.50%"
"05/01/2001","1,255.82","1,249.46","1,315.93","1,232.00","","0.51%"
"04/01/2001","1,249.46","1,160.33","1,269.30","1,091.99","","7.68%"
"03/01/2001","1,160.33","1,239.94","1,267.42","1,081.19","","-6.42%"
"02/01/2001","1,239.94","1,366.01","1,376.38","1,215.44","","-9.23%"
"01/01/2001","1,366.01","1,320.28","1,383.37","1,274.62","","3.46%"
"12/01/2000","1,320.28","1,314.95","1,389.05","1,254.07","","0.41%"
"11/01/2000","1,314.95","1,429.40","1,438.46","1,294.90","","-8.01%"
"10/01/2000","1,429.40","1,436.52","1,454.82","1,305.79","","-0.49%"
"09/01/2000","1,436.51","1,517.68","1,530.09","1,419.44","","-5.35%"
"08/01/2000","1,517.68","1,430.83","1,525.21","1,425.43","","6.07%"
"07/01/2000","1,430.83","1,454.60","1,517.32","1,413.89","","-1.63%"
"06/01/2000","1,454.60","1,420.60","1,488.93","1,420.60","","2.39%"
"05/01/2000","1,420.60","1,452.43","1,481.51","1,361.09","","-2.19%"
"04/01/2000","1,452.43","1,498.58","1,527.19","1,339.40","","-3.08%"
"03/01/2000","1,498.58","1,366.42","1,552.87","1,346.62","","9.67%"
"02/01/2000","1,366.42","1,394.46","1,444.55","1,325.07","","-2.01%"
"01/01/2000","1,394.46","1,469.25","1,478.00","1,350.14","","-5.09%"
"12/01/1999","1,469.25","1,388.91","1,473.10","1,387.38","","5.78%"
"11/01/1999","1,388.91","1,362.93","1,425.31","1,346.41","","1.91%"
"10/01/1999","1,362.93","1,282.71","1,373.17","1,233.70","","6.25%"
"09/01/1999","1,282.71","1,320.41","1,361.39","1,256.26","","-2.86%"
"08/01/1999","1,320.41","1,328.72","1,382.84","1,267.73","","-0.63%"
"07/01/1999","1,328.72","1,372.71","1,420.33","1,328.49","","-3.20%"
"06/01/1999","1,372.71","1,301.84","1,372.93","1,277.47","","5.44%"
"05/01/1999","1,301.84","1,335.18","1,375.98","1,277.31","","-2.50%"
"04/01/1999","1,335.18","1,286.37","1,371.56","1,282.56","","3.79%"
"03/01/1999","1,286.37","1,238.33","1,323.82","1,216.03","","3.88%"
"02/01/1999","1,238.33","1,279.64","1,283.84","1,211.89","","-3.23%"
"01/01/1999","1,279.64","1,229.23","1,280.37","1,205.46","","4.10%"
"12/01/1998","1,229.23","1,163.63","1,244.93","1,136.89","","5.64%"
"11/01/1998","1,163.63","1,098.67","1,192.97","1,098.67","","5.91%"
"10/01/1998","1,098.67","1,017.01","1,103.78","923.32","","8.03%"
"09/01/1998","1,017.01","957.28","1,066.11","939.98","","6.24%"
"08/01/1998","957.28","1,120.67","1,121.79","957.28","","-14.58%"
"07/01/1998","1,120.67","1,133.84","1,190.58","1,114.30","","-1.16%"
"06/01/1998","1,133.84","1,090.82","1,145.15","1,074.67","","3.94%"
"05/01/1998","1,090.82","1,111.75","1,130.52","1,074.39","","-1.88%"
"04/01/1998","1,111.75","1,101.75","1,132.98","1,076.70","","0.91%"
"03/01/1998","1,101.75","1,049.34","1,113.07","1,030.87","","4.99%"
"02/01/1998","1,049.34","980.28","1,051.66","980.28","","7.04%"
"01/01/1998","980.28","970.43","992.65","912.83","","1.02%"
"12/01/1997","970.43","955.40","986.25","924.92","","1.57%"
"11/01/1997","955.40","914.62","964.55","900.61","","4.46%"
"10/01/1997","914.62","947.28","983.12","855.27","","-3.45%"
"09/01/1997","947.28","899.47","960.59","899.47","","5.32%"
"08/01/1997","899.47","954.29","964.17","893.34","","-5.75%"
"07/01/1997","954.31","885.14","957.73","884.54","","7.81%"
"06/01/1997","885.14","848.28","902.09","838.82","","4.35%"
"05/01/1997","848.28","801.34","851.87","793.21","","5.86%"
"04/01/1997","801.34","757.12","804.13","733.54","","5.84%"
"03/01/1997","757.12","790.82","814.90","756.13","","-4.26%"
"02/01/1997","790.82","786.16","817.68","773.43","","0.59%"
"01/01/1997","786.16","740.74","794.67","729.55","","6.13%"
"12/01/1996","740.74","757.02","761.75","716.69","","-2.15%"
"11/01/1996","757.02","705.27","762.12","701.30","","7.34%"
"10/01/1996","705.27","687.31","714.10","684.44","","2.61%"
"09/01/1996","687.33","651.99","690.88","643.97","","5.42%"
"08/01/1996","651.99","639.95","670.68","639.49","","1.88%"
"07/01/1996","639.95","670.63","675.88","605.88","","-4.57%"
"06/01/1996","670.63","669.12","680.32","658.75","","0.23%"
"05/01/1996","669.12","654.17","681.10","630.07","","2.29%"
"04/01/1996","654.17","645.50","656.68","624.14","","1.34%"
"03/01/1996","645.50","640.43","656.97","627.63","","0.79%"
"02/01/1996","640.43","636.02","664.23","633.71","","0.69%"
"01/01/1996","636.02","615.93","636.18","597.29","","3.26%"
"12/01/1995","615.93","605.37","622.88","605.05","","1.74%"
"11/01/1995","605.37","581.50","608.69","581.04","","4.10%"
"10/01/1995","581.50","584.41","590.66","571.55","","-0.50%"
"09/01/1995","584.41","561.88","587.61","561.01","","4.01%"
"08/01/1995","561.88","562.06","565.62","553.04","","-0.03%"
"07/01/1995","562.06","544.75","565.40","542.51","","3.18%"
"06/01/1995","544.75","533.40","551.07","526.00","","2.13%"
"05/01/1995","533.40","514.76","533.41","513.03","","3.63%"
"04/01/1995","514.71","500.70","515.29","500.20","","2.80%"
"03/01/1995","500.71","487.39","508.15","479.70","","2.73%"
"02/01/1995","487.39","470.42","489.19","469.29","","3.61%"
"01/01/1995","470.42","459.21","471.36","457.20","","2.43%"
"12/01/1994","459.27","453.55","462.73","442.88","","1.23%"
"11/01/1994","453.69","472.26","472.26","444.18","","-3.95%"
"10/01/1994","472.35","462.69","474.74","449.27","","2.08%"
"09/01/1994","462.71","475.49","475.49","458.47","","-2.69%"
"08/01/1994","475.49","458.28","477.59","456.08","","3.76%"
"07/01/1994","458.26","444.27","459.33","443.58","","3.15%"
"06/01/1994","444.27","456.50","463.23","439.83","","-2.68%"
"05/01/1994","456.50","450.91","457.77","440.78","","1.24%"
"04/01/1994","450.91","445.66","452.79","435.86","","1.15%"
"03/01/1994","445.77","467.19","471.09","436.16","","-4.57%"
"02/01/1994","467.14","481.60","482.23","464.26","","-3.00%"
"01/01/1994","481.61","466.51","482.85","464.36","","3.25%"
"12/01/1993","466.45","461.93","471.29","461.45","","1.01%"
"11/01/1993","461.79","467.83","469.11","454.36","","-1.29%"
"10/01/1993","467.83","458.93","471.10","456.40","","1.94%"
"09/01/1993","458.93","463.55","463.80","449.64","","-1.00%"
"08/01/1993","463.56","448.13","463.56","446.94","","3.44%"
"07/01/1993","448.13","450.54","451.15","441.40","","-0.53%"
"06/01/1993","450.53","450.23","455.63","442.50","","0.08%"
"05/01/1993","450.19","440.19","454.55","436.86","","2.27%"
"04/01/1993","440.19","451.67","452.63","432.30","","-2.54%"
"03/01/1993","451.67","443.38","456.76","441.07","","1.87%"
"02/01/1993","443.38","438.78","450.04","428.25","","1.05%"
"01/01/1993","438.78","435.70","442.66","426.88","","0.70%"
"12/01/1992","435.71","431.35","442.65","428.61","","1.01%"
"11/01/1992","431.35","418.66","431.93","415.58","","3.03%"
"10/01/1992","418.68","417.80","421.16","396.80","","0.21%"
"09/01/1992","417.80","414.03","425.27","412.71","","0.91%"
"08/01/1992","414.03","424.19","425.14","408.30","","-2.40%"
"07/01/1992","424.21","408.20","424.80","407.20","","3.94%"
"06/01/1992","408.14","415.35","417.30","399.92","","-1.74%"
"05/01/1992","415.35","414.95","418.75","409.85","","0.10%"
"04/01/1992","414.95","403.67","416.28","392.41","","2.79%"
"03/01/1992","403.69","412.68","413.78","401.94","","-2.18%"
"02/01/1992","412.70","408.79","418.08","406.34","","0.96%"
"01/01/1992","408.78","417.03","421.18","408.64","","-1.99%"
"12/01/1991","417.09","375.11","418.32","371.36","","11.16%"
"11/01/1991","375.22","392.46","398.22","371.63","","-4.39%"
"10/01/1991","392.45","387.86","393.81","376.11","","1.18%"
"09/01/1991","387.86","395.43","397.62","382.77","","-1.91%"
"08/01/1991","395.43","387.81","396.82","374.09","","1.96%"
"07/01/1991","387.81","371.18","387.81","370.92","","4.49%"
"06/01/1991","371.16","389.81","389.81","367.98","","-4.79%"
"05/01/1991","389.83","375.35","389.85","365.83","","3.86%"
"04/01/1991","375.34","375.22","391.26","370.27","","0.03%"
"03/01/1991","375.22","367.07","379.66","363.73","","2.22%"
"02/01/1991","367.07","343.91","370.96","340.37","","6.73%"
"01/01/1991","343.93","330.20","343.93","309.35","","4.15%"
"12/01/1990","330.22","322.23","333.98","321.97","","2.48%"
"11/01/1990","322.22","303.99","323.02","301.61","","5.99%"
"10/01/1990","304.00","306.10","319.69","294.51","","-0.67%"
"09/01/1990","306.05","322.56","326.53","295.98","","-5.12%"
"08/01/1990","322.56","356.15","357.35","306.18","","-9.43%"
"07/01/1990","356.15","358.02","369.78","350.09","","-0.52%"
"06/01/1990","358.02","361.26","368.78","351.23","","-0.89%"
"05/01/1990","361.23","330.80","362.26","330.80","","9.20%"
"04/01/1990","330.80","339.94","347.30","327.76","","-2.69%"
